127.0.0.1 - - [26/Jul/2022:11:46:34 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/ HTTP/1.1" 200 96
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/login.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/dl.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/login_05.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/login_03.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/login_06.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/login_07.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:35 +0800] "GET /cims_gjmy/CIMS/images/login_08.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:48 +0800] "POST /cims_gjmy/operator HTTP/1.1" 302 -
192.168.1.167 - - [26/Jul/2022:11:46:48 +0800] "GET /cims_gjmy/CIMS/main.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:48 +0800] "GET /cims_gjmy/CIMS/center.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:48 +0800] "GET /cims_gjmy/CIMS/down.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/middel.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_62.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_59.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_61.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_55.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/top.jsp HTTP/1.1" 200 10141
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_07.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_12.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_14.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_16.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_20.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_18.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_21.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_22.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_11.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_31.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_34.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_37.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_05.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_03.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_09.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_29.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_04.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_30.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_36.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:49 +0800] "GET /cims_gjmy/CIMS/images/main_32.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/left.jsp HTTP/1.1" 200 5484
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/images/left.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/images/main_52.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/images/main_47.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/images/main_40.gif HTTP/1.1" 304 -
